domain,table,entity,column,sql_type,kotlin_type,nullable,key,enum_values,relationship,notes
cas3,non_arrivals,Cas3NonArrivalEntity,booking_id,uuid,UUID,no,FK,,OneToOne -> bookings,
cas3,cas3_premises_characteristics,Cas3PremisesCharacteristicEntity,id,uuid,UUID,no,PK,,,
cas3,cas3_premises_characteristics,Cas3PremisesCharacteristicEntity,name,text,String,no,,,,
cas3,cas3_premises_characteristics,Cas3PremisesCharacteristicEntity,description,text,String,no,,,,
cas3,cas3_premises_characteristics,Cas3PremisesCharacteristicEntity,is_active,boolean,Boolean,no,,,,
cas3,cas3_confirmations,Cas3ConfirmationEntity,id,uuid,UUID,no,PK,,,v1 entity; physical table shared with v2 entity Cas3v2ConfirmationEntity
cas3,cas3_confirmations,Cas3ConfirmationEntity,date_time,timestamptz,OffsetDateTime,no,,,,
cas3,cas3_confirmations,Cas3ConfirmationEntity,notes,text,String?,yes,,,,
cas3,cas3_confirmations,Cas3ConfirmationEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cas3_confirmations,Cas3ConfirmationEntity,booking_id,uuid,UUID,no,FK,,OneToOne -> bookings,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,id,uuid,UUID,no,PK,,,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,start_date,date,LocalDate,no,,,,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,end_date,date,LocalDate,no,,,,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,cas3_void_bedspace_reason_id,uuid,UUID,no,FK,,ManyToOne -> cas3_void_bedspace_reasons,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,reference_number,text,String?,yes,,,,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,notes,text,String?,yes,,,,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,premises_id,uuid,UUID?,yes,FK,,ManyToOne -> premises,deprecated v1
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,bed_id,uuid,UUID?,yes,FK,,ManyToOne -> beds,deprecated v1
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,bedspace_id,uuid,UUID?,yes,FK,,ManyToOne -> cas3_bedspaces,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,cancellation_date,timestamptz,OffsetDateTime?,yes,,,,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,cancellation_notes,text,String?,yes,,,,
cas3,cas3_void_bedspaces,Cas3VoidBedspaceEntity,cost_centre,text,Cas3CostCentre?,yes,,Cas3CostCentre,,
cas3,cas3_turnarounds,Cas3TurnaroundEntity,id,uuid,UUID,no,PK,,,v1 entity; physical table shared with v2 entity Cas3v2TurnaroundEntity
cas3,cas3_turnarounds,Cas3TurnaroundEntity,working_day_count,integer,Int,no,,,,
cas3,cas3_turnarounds,Cas3TurnaroundEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cas3_turnarounds,Cas3TurnaroundEntity,booking_id,uuid,UUID,no,FK,,ManyToOne -> bookings,
cas3,cas3_void_bedspace_cancellations,Cas3VoidBedspaceCancellationEntity,id,uuid,UUID,no,PK,,,
cas3,cas3_void_bedspace_cancellations,Cas3VoidBedspaceCancellationEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cas3_void_bedspace_cancellations,Cas3VoidBedspaceCancellationEntity,notes,text,String?,yes,,,,
cas3,cas3_void_bedspace_cancellations,Cas3VoidBedspaceCancellationEntity,cas3_void_bedspace_id,uuid,UUID,no,FK,,OneToOne -> cas3_void_bedspaces,
cas3,cas3_bedspace_characteristics,Cas3BedspaceCharacteristicEntity,id,uuid,UUID,no,PK,,,
cas3,cas3_bedspace_characteristics,Cas3BedspaceCharacteristicEntity,name,text,String?,yes,,,,
cas3,cas3_bedspace_characteristics,Cas3BedspaceCharacteristicEntity,description,text,String,no,,,,
cas3,cas3_bedspace_characteristics,Cas3BedspaceCharacteristicEntity,is_active,boolean,Boolean,no,,,,
cas3,cas3_premises,Cas3PremisesEntity,id,uuid,UUID,no,PK,,,
cas3,cas3_premises,Cas3PremisesEntity,name,text,String,no,,,,
cas3,cas3_premises,Cas3PremisesEntity,postcode,text,String,no,,,,
cas3,cas3_premises,Cas3PremisesEntity,address_line1,text,String,no,,,,
cas3,cas3_premises,Cas3PremisesEntity,address_line2,text,String?,yes,,,,
cas3,cas3_premises,Cas3PremisesEntity,town,text,String?,yes,,,,
cas3,cas3_premises,Cas3PremisesEntity,status,text,Cas3PremisesStatus,no,,Cas3PremisesStatus,,
cas3,cas3_premises,Cas3PremisesEntity,notes,text,String,no,,,,
cas3,cas3_premises,Cas3PremisesEntity,start_date,date,LocalDate,no,,,,
cas3,cas3_premises,Cas3PremisesEntity,end_date,date,LocalDate?,yes,,,,
cas3,cas3_premises,Cas3PremisesEntity,probation_delivery_unit_id,uuid,UUID,no,FK,,ManyToOne -> probation_delivery_units,
cas3,cas3_premises,Cas3PremisesEntity,local_authority_area_id,uuid,UUID?,yes,FK,,ManyToOne -> local_authority_areas,
cas3,cas3_premises,Cas3PremisesEntity,turnaround_working_days,integer,Int,no,,,,
cas3,cas3_premises,Cas3PremisesEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cas3_premises,Cas3PremisesEntity,last_updated_at,timestamptz,OffsetDateTime?,yes,,,,audit timestamp
cas3,extensions,Cas3ExtensionEntity,id,uuid,UUID,no,PK,,,
cas3,extensions,Cas3ExtensionEntity,previous_departure_date,date,LocalDate,no,,,,
cas3,extensions,Cas3ExtensionEntity,new_departure_date,date,LocalDate,no,,,,
cas3,extensions,Cas3ExtensionEntity,notes,text,String?,yes,,,,
cas3,extensions,Cas3ExtensionEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,extensions,Cas3ExtensionEntity,booking_id,uuid,UUID,no,FK,,ManyToOne -> bookings,
cas3,cas3_void_bedspace_reasons,Cas3VoidBedspaceReasonEntity,id,uuid,UUID,no,PK,,,
cas3,cas3_void_bedspace_reasons,Cas3VoidBedspaceReasonEntity,name,text,String,no,,,,
cas3,cas3_void_bedspace_reasons,Cas3VoidBedspaceReasonEntity,is_active,boolean,Boolean,no,,,,
cas3,arrivals,Cas3ArrivalEntity,id,uuid,UUID,no,PK,,,
cas3,arrivals,Cas3ArrivalEntity,arrival_date,date,LocalDate,no,,,,
cas3,arrivals,Cas3ArrivalEntity,arrival_date_time,timestamptz,Instant,no,,,,
cas3,arrivals,Cas3ArrivalEntity,expected_departure_date,date,LocalDate,no,,,,
cas3,arrivals,Cas3ArrivalEntity,notes,text,String?,yes,,,,
cas3,arrivals,Cas3ArrivalEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,arrivals,Cas3ArrivalEntity,booking_id,uuid,UUID,no,FK,,ManyToOne -> bookings,
cas3,cas3_overstays,Cas3OverstayEntity,id,uuid,UUID,no,PK,,,
cas3,cas3_overstays,Cas3OverstayEntity,previous_departure_date,date,LocalDate,no,,,,
cas3,cas3_overstays,Cas3OverstayEntity,new_departure_date,date,LocalDate,no,,,,
cas3,cas3_overstays,Cas3OverstayEntity,is_authorised,boolean,Boolean,no,,,,
cas3,cas3_overstays,Cas3OverstayEntity,reason,text,String?,yes,,,,
cas3,cas3_overstays,Cas3OverstayEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cas3_overstays,Cas3OverstayEntity,booking_id,uuid,UUID,no,FK,,ManyToOne -> bookings,
cas3,cas3_bedspaces,Cas3BedspacesEntity,id,uuid,UUID,no,PK,,,
cas3,cas3_bedspaces,Cas3BedspacesEntity,premises_id,uuid,UUID,no,FK,,ManyToOne -> cas3_premises,
cas3,cas3_bedspaces,Cas3BedspacesEntity,reference,text,String,no,,,,
cas3,cas3_bedspaces,Cas3BedspacesEntity,notes,text,String?,yes,,,,
cas3,cas3_bedspaces,Cas3BedspacesEntity,start_date,date,LocalDate,no,,,,
cas3,cas3_bedspaces,Cas3BedspacesEntity,end_date,date,LocalDate?,yes,,,,
cas3,cas3_bedspaces,Cas3BedspacesEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cas3_bedspaces,Cas3BedspacesEntity,created_date,date,LocalDate,no,,,,
cas3,cancellations,Cas3CancellationEntity,id,uuid,UUID,no,PK,,,
cas3,cancellations,Cas3CancellationEntity,date,date,LocalDate,no,,,,
cas3,cancellations,Cas3CancellationEntity,cancellation_reason_id,uuid,UUID,no,FK,,ManyToOne -> cancellation_reasons,
cas3,cancellations,Cas3CancellationEntity,notes,text,String?,yes,,,,
cas3,cancellations,Cas3CancellationEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cancellations,Cas3CancellationEntity,booking_id,uuid,UUID,no,FK,,ManyToOne -> bookings,
cas3,cancellations,Cas3CancellationEntity,other_reason,text,String?,yes,,,,
cas3,cas3_confirmations,Cas3v2ConfirmationEntity,id,uuid,UUID,no,PK,,,v2 entity; physical table shared with v1 entity Cas3ConfirmationEntity
cas3,cas3_confirmations,Cas3v2ConfirmationEntity,date_time,timestamptz,OffsetDateTime,no,,,,
cas3,cas3_confirmations,Cas3v2ConfirmationEntity,notes,text,String?,yes,,,,
cas3,cas3_confirmations,Cas3v2ConfirmationEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cas3_confirmations,Cas3v2ConfirmationEntity,booking_id,uuid,UUID,no,FK,,OneToOne -> bookings,
cas3,cas3_turnarounds,Cas3v2TurnaroundEntity,id,uuid,UUID,no,PK,,,v2 entity; physical table shared with v1 entity Cas3TurnaroundEntity
cas3,cas3_turnarounds,Cas3v2TurnaroundEntity,working_day_count,integer,Int,no,,,,
cas3,cas3_turnarounds,Cas3v2TurnaroundEntity,created_at,timestamptz,OffsetDateTime,no,,,,audit timestamp
cas3,cas3_turnarounds,Cas3v2TurnaroundEntity,booking_id,uuid,UUID,no,FK,,ManyToOne -> bookings,
