apCode,bedCode,roomNumber,bedCount,isSingle,isGroundFloor,isFullyFm,hasCrib7Bedding,hasSmokeDetector,isTopFloorVulnerable,isGroundFloorNrOffice,hasNearbySprinkler,isArsonSuitable,isArsonDesignated,hasArsonInsuranceConditions,isSuitedForSexOffenders,hasEnSuite,isWheelchairAccessible,hasWideDoor,hasStepFreeAccess,hasFixedMobilityAids,hasTurningSpace,hasCallForAssistance,isWheelchairDesignated,isStepFreeDesignated,notes
"TEST7","TEST709","9",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST710","10",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST711","11",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST712","12",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST713","13",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST714","14",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST715","15",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST716","16",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO",""
"TEST7","TEST717","17",2,"NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","Only one bed in this room - to small to accommodate 2nd bed"
"TEST7","TEST718","17",2,"NO","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","NO","NO","NO","Only one bed in this room - to small to accommodate 2nd bed"
"TEST8","TEST801","1",1,"YES","NO","YES","YES","YES","NO","NO","YES","NO","NO","NO","YES","NO","YES","NO","YES","NO","YES","NO","NO","YES",""
